Test Name,NumberOfDoozerdInstances,NumberOfMessages,sync Time(s),sync Throughput(messages/s),Async Time(s),Async Throughput(messages/s)
DoozerTest-Read,1,1,0.034,30,0.000513,1949.3177387914
DoozerTest-Read,1,3,0.002,1500,0.000877,3420.7525655644
DoozerTest-Read,1,10,0.007,1429,0.012005,832.9862557268
DoozerTest-Read,1,31,0.015,2067,0.006599,4697.6814668889
DoozerTest-Read,1,100,0.069,1450,0.022442,4455.9308439533
DoozerTest-Read,1,316,0.213,1484,0.067896,4654.1769765524
DoozerTest-Read,1,1000,0.572,1749,0.249158,4013.517527031
DoozerTest-Read,1,3162,,,0.743353,4253.6991173776
DoozerTest-Read,1,10000,,,2.442309,4094.4859966532
DoozerTest-Read,1,31622,,,7.610423,4155.0909850872
DoozerTest-Read,1,100000,,,25.773719,3879.9212484624
DoozerTest-Read,3,1,0.035,29,0.001184,844.5945945946
DoozerTest-Read,3,3,0.001,3000,0.002119,1415.7621519585
DoozerTest-Read,3,10,0.005,2000,0.0158,632.9113924051
DoozerTest-Read,3,31,0.017,1824,0.006941,4466.2152427604
DoozerTest-Read,3,100,0.065,1539,0.022486,4447.2115983279
DoozerTest-Read,3,316,0.212,1491,0.068566,4608.6981886066
DoozerTest-Read,3,1000,0.779,1284,0.251463,3976.7281866517
DoozerTest-Read,3,3162,,,0.736079,4295.7345611001
DoozerTest-Read,3,10000,,,2.368334,4222.37741805
DoozerTest-Read,3,31622,,,7.717339,4097.5263623899
DoozerTest-Read,3,100000,,,25.510842,3919.9019773632
DoozerTest-Read,5,1,0.034,30,0.000492,2032.5203252033
DoozerTest-Read,5,3,0.002,1500,0.000879,3412.9692832765
DoozerTest-Read,5,10,0.005,2000,0.012091,827.0614506658
DoozerTest-Read,5,31,0.016,1938,0.006571,4717.6989803683
DoozerTest-Read,5,100,0.278,360,0.020818,4803.5354020559
DoozerTest-Read,5,316,0.208,1520,0.068674,4601.4503305472
DoozerTest-Read,5,1000,0.569,1758,0.24316,4112.5185063333
DoozerTest-Read,5,3162,,,0.741609,4263.7023013475
DoozerTest-Read,5,10000,,,2.413915,4142.6479391362
DoozerTest-Read,5,31622,,,7.726499,4092.6686200309
DoozerTest-Read,5,100000,,,25.172851,3972.5337428009
