Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,1,1,1,0.017,59
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,3,1,3,0.033,91
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,10,1,10,0.047,213
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,31,1,31,0.156,199
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,100,1,100,0.515,195
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,316,1,316,1.615,196
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,1000,1,1000,5.048,199
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,3162,1,3162,16.222,195
ZK Performance Test-Write,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Create,1,10000,1,10000,47.167,213
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,1,1,1,0.008,125
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,3,1,3,0.004,750
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,10,1,10,0.006,1667
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,31,1,31,0.015,2067
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,100,1,100,0.048,2084
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,316,1,316,0.175,1806
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,1000,1,1000,0.492,2033
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,3162,1,3162,1.351,2341
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.3.6,Create,1,10000,1,10000,3.198,3127
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,1,1,1,0.008,125
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,3,1,3,0.001,3000
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,10,1,10,0.005,2000
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,31,1,31,0.018,1723
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,100,1,100,0.055,1819
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,316,1,316,0.197,1605
ZK Performance Test-Read,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get,1,1000,1,1000,0.34,2942
