Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,1,1,1,0.028,36.0
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,3,1,3,0.005,600.0
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,10,1,10,0.013,770.0
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,31,1,31,0.036,862.0
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,100,1,100,0.159,629.0
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,316,1,316,0.371,852.0
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,1000,1,1000,1.166,858.0
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,3162,1,3162,3.091,1023.0
ZK Performance Test-Write,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create,1,10000,1,10000,6.002,1667.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,1,1,1,0.006,167.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,3,1,3,0.001,3000.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,10,1,10,0.011,910.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,31,1,31,0.014,2215.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,100,1,100,0.046,2174.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,316,1,316,0.158,2000.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,1000,1,1000,0.497,2013.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,3162,1,3162,8.239,384.0
ZK Performance Test-Read,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get,1,10000,1,10000,16.793,596.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.122,9.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.209,15.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.23,44.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,1.063,30.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,2.997,34.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,9.163,35.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,34.283,30.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,22.896,139.0
ZK Performance Test-Producer/Consumer,Ramdisk,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,38.82,258.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.114,9.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.005,600.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.222,46.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.833,38.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,2.365,43.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,5.513,58.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,11.718,86.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,24.079,132.0
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,6.507,1537.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,1,1,1,0.006,167.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,3,1,3,0.018,167.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,10,1,10,0.034,295.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,31,1,31,0.092,337.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,100,1,100,0.266,376.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,316,1,316,0.85,372.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,1000,1,1000,22.498,45.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,3162,1,3162,34.82,91.0
ZK Performance Test-ZKmove,Ramdisk,10000,AWS,Zookeeper-3.4.5,move,1,10000,1,10000,27.859,359.0
