Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,forceSync,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,1,1,1,0.007,143,0.002,500
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,3,1,3,0.011,273,0.004,750
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,10,1,10,0.024,417,0.008,1250
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,31,1,31,0.066,470,0.014,2215
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,100,1,100,0.154,650,0.021,4762
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,316,1,316,0.301,1050,0.04,7900
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,1000,1,1000,0.265,3774,0.056,17858
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,3162,1,3162,0.551,5739,0.057,55474
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,10000,1,10000,1.723,5804,0.34,29412
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,31622,1,31622,6.019,5254,0.39,81083
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create,1,100000,1,100000,16.615,6019,1.475,67797
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,1,1,1,0.002,500,0.001,1000
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,3,1,3,0.005,600,0.002,1500
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,10,1,10,0.013,770,0.004,2500
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,31,1,31,0.042,739,0.007,4429
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,100,1,100,0.096,1042,0.023,4348
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,316,1,316,0.2,1580,0.03,10534
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,1000,1,1000,0.474,2110,0.076,13158
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,3162,1,3162,0.489,6467,0.11,28746
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,10000,1,10000,1.417,7058,0.189,52911
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,31622,1,31622,4.541,6964,0.407,77696
ZK Performance Test-Read,None,10000,LocalMachine,Zookeeper-3.4.5,no,Get,1,100000,1,100000,13.514,7400,1.022,97848
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,1,1,1,0.007,143,0.002,500
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,3,1,3,0.016,188,0.003,1000
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,10,1,10,0.039,257,0.004,2500
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,31,1,31,0.051,608,0.006,5167
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,100,1,100,0.128,782,0.011,9091
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,316,1,316,0.183,1727,0.017,18589
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,1000,1,1000,0.751,1332,0.025,40000
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,3162,1,3162,1.542,2051,0.062,51000
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,10000,1,10000,3.414,2930,0.146,68494
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,31622,1,31622,14.503,2181,0.517,61165
ZK Performance Test-Producer/Consumer,None,10000,LocalMachine,Zookeeper-3.4.5,no,Create+Get+Delete,1,100000,1,100000,33.514,2984,1.635,61163
