Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,1,1,1,0.01,100.0,0.003,334.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,3,1,3,0.016,188.0,0.005,600.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,10,1,10,0.038,264.0,0.012,834.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,31,1,31,0.092,337.0,0.028,1108.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,100,1,100,0.221,453.0,0.036,2778.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,316,1,316,0.286,1105.0,0.079,4000.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,1000,1,1000,0.376,2660.0,0.122,8197.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,3162,1,3162,0.624,5068.0,0.137,23081.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,1,10000,1.793,5578.0,0.404,24753.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,31622,1,31622,5.545,5703.0,1.201,26330.0
ZK Performance Test-Write,None,100000,LocalMachine,Zookeeper-3.4.5,Create,3,100000,1,100000,18.679,5354.0,4.154,24074.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,1,1,1,0.001,1000.0,0.001,1000.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,3,1,3,0.002,1500.0,0.002,1500.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,10,1,10,0.002,5000.0,0.002,5000.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,31,1,31,0.008,3875.0,0.005,6200.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,100,1,100,0.02,5000.0,0.012,8334.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,316,1,316,0.048,6584.0,0.025,12640.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,1000,1,1000,0.094,10639.0,0.025,40000.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,3162,1,3162,0.197,16051.0,0.053,59661.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,10000,1,10000,0.622,16078.0,0.16,62500.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,31622,1,31622,2.344,13491.0,0.392,80669.0
ZK Performance Test-Read,None,100000,LocalMachine,Zookeeper-3.4.5,Get,3,100000,1,100000,11.048,9052.0,0.919,108814.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,1,1,1,0.006,167.0,0.002,500.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,3,1,3,0.011,273.0,0.002,1500.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,10,1,10,0.029,345.0,0.003,3334.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,31,1,31,0.068,456.0,0.007,4429.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,100,1,100,0.141,710.0,0.014,7143.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,316,1,316,0.306,1033.0,0.048,6584.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,1000,1,1000,0.655,1527.0,0.054,18519.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,3162,1,3162,1.596,1982.0,0.072,43917.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,10000,1,10000,4.873,2053.0,0.344,29070.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,31622,1,31622,15.757,2007.0,0.861,36728.0
ZK Performance Test-Producer/Consumer,None,100000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,3,100000,1,100000,44.138,2266.0,5.331,18759.0
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,1,1,1,0.002,500.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,3,1,3,0.007,429.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,10,1,10,0.016,625.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,31,1,31,0.063,493.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,100,1,100,0.125,800.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,316,1,316,0.272,1162.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,1000,1,1000,0.732,1367.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,3162,1,3162,2.38,1329.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,10000,1,10000,6.146,1628.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,31622,1,31622,20.206,1565.0,,
ZK Performance Test-move,None,100000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,3,100000,1,100000,64.94,1540.0,,
