Test Name,Transaction Log Location,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,1,1,1,0.011,91,0.001,1000
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,3,1,3,0.012,250,0.001,3000
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,10,1,10,0.015,667,0.003,3334
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,31,1,31,0.024,1292,0.007,4429
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,100,1,100,0.05,2000,0.02,5000
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,316,1,316,0.108,2926,0.04,7900
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,1000,1,1000,0.26,3847,0.093,10753
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,3162,1,3162,0.729,4338,0.211,14986
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,10000,1,10000,2.265,4416,0.665,15038
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,31622,1,31622,7.704,4105,2.442,12950
ZK Performance Test-Write,None,LocalMachine,Zookeeper-3.4.5,Create,3,100000,1,100000,24.374,4103,3.807,26268
ZK Performance Test-Read,None,LocalMachine,Zookeeper-3.4.5,Get,3,1,1,1,0.001,1000,0.001,1000
ZK Performance Test-Read,None,LocalMachine,Zookeeper-3.4.5,Get,3,3,1,3,0.002,1500,0.001,3000
ZK Performance Test-Read,None,LocalMachine,Zookeeper-3.4.5,Get,3,10,1,10,0.003,3334,0.002,5000
ZK Performance Test-Read,None,LocalMachine,Zookeeper-3.4.5,Get,3,31,1,31,0.008,3875,0.006,5167
ZK Performance Test-Read,None,LocalMachine,Zookeeper-3.4.5,Get,3,100,1,100,0.022,4546,0.013,7693
ZK Performance Test-Read,None,LocalMachine,Zookeeper-3.4.5,Get,3,316,1,316,0.045,7023,0.024,13167
ZK Performance Test-Read,None,LocalMachine,Zookeeper-3.4.5,Get,3,1000,1,1000,0.086,11628,0.038,26316
