Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,forceSync,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,1,1,1,0.023,44.0,0.009,112.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,3,1,3,0.04,75.0,0.013,231.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,10,1,10,0.097,104.0,0.029,345.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,31,1,31,0.307,101.0,0.043,721.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,100,1,100,1.001,100.0,0.052,1924.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,316,1,316,2.964,107.0,0.085,3718.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,1000,1,1000,8.742,115.0,0.159,6290.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,3162,1,3162,22.497,141.0,0.272,11625.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,10000,1,10000,68.359,147.0,0.811,12331.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,31622,1,31622,241.836,131.0,2.958,10691.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Create,3,100000,1,100000,734.3,137.0,9.592,10426.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,1,1,1,0.001,1000.0,0.001,1000.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,3,1,3,0.004,750.0,0.002,1500.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,10,1,10,0.009,1112.0,0.005,2000.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,31,1,31,0.022,1410.0,0.012,2584.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,100,1,100,0.06,1667.0,0.02,5000.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,316,1,316,0.085,3718.0,0.026,12154.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,1000,1,1000,0.239,4185.0,0.034,29412.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,3162,1,3162,0.428,7388.0,0.057,55474.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,10000,1,10000,1.326,7542.0,0.164,60976.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,31622,1,31622,4.193,7542.0,0.292,108295.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,yes,Get,3,100000,1,100000,8.988,11126.0,0.955,104713.0
