Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,1,1,1,0.052,20.0,0.007,143.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,3,1,3,0.026,116.0,0.015,200.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10,1,10,0.053,189.0,0.021,477.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,31,1,31,0.161,193.0,0.034,912.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,100,1,100,0.472,212.0,0.04,2500.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,316,1,316,1.706,186.0,0.058,5449.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,1000,1,1000,3.947,254.0,0.1,10000.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,3162,1,3162,11.153,284.0,0.271,11668.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,1,10000,33.796,296.0,0.373,26810.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,31622,1,31622,104.312,304.0,1.17,27028.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,100000,1,100000,323.782,309.0,3.568,28027.0
