Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,1,1,1,0.165,7,0.005,200
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,3,1,3,0.089,34,0.005,600
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,10,1,10,0.122,82,0.004,2500
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,31,1,31,0.261,119,0.008,3875
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,100,1,100,0.767,131,0.014,7143
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,316,1,316,2.197,144,0.032,9875
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,1000,1,1000,6.302,159,0.047,21277
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,3162,1,3162,18.765,169,0.144,21959
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,10000,1,10000,57.235,175,0.441,22676
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,31622,1,31622,179.084,177,1.303,24269
ZK Performance Test-MQ,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,100000,1,100000,568.524,176,4.752,21044
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,1,1,1,0.015,67,0.003,334
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,3,1,3,0.008,375,0.001,3000
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,10,1,10,0.026,385,0.003,3334
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,31,1,31,0.057,544,0.011,2819
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,100,1,100,0.412,243,0.029,3449
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,316,1,316,1.091,290,0.072,4389
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,1000,1,1000,2.105,476,0.111,9010
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,3162,1,3162,3.131,1010,0.114,27737
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,10000,1,10000,5.614,1782,0.444,27523
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,31622,1,31622,16.225,1949,1.168,27074
ZK Performance Test-MQ,ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,100000,1,100000,51.725,1934,3.665,27286
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,1,1,1,0.134,8,0.001,1000
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,3,1,3,0.037,82,0.001,3000
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,10,1,10,0.033,304,0.002,5000
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,31,1,31,0.054,575,0.002,15500
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,100,1,100,0.1,1000,0.007,14286
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,316,1,316,0.213,1484,0.019,16632
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,1000,1,1000,0.47,2128,0.043,23256
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,3162,1,3162,0.954,3315,0.109,29010
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,10000,1,10000,2.401,4165,0.326,30675
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,31622,1,31622,6.982,4530,1.148,27546
ZK Performance Test-MQ,None,10000,LocalMachine,Zookeeper-3.4.5,Create+GetChildren+Get+Delete,1,100000,1,100000,22.42,4461,3.761,26587

