Test Name,Transaction Log Location,SnapCount,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,1,10000,36.797,272,0.909,11002
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,5,50000,77.451,646,1.844,27115
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,10,100000,101.541,985,3.32,30121
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,15,150000,112.25,1337,5.373,27918
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,20,200000,103.464,1934,6.602,30294
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,25,250000,99.532,2512,8.401,29759
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,30,300000,93.012,3226,10.352,28980
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,35,350000,97.445,3592,13.088,26743
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,40,400000,100.791,3969,14.369,27838
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,45,450000,103.596,4344,18.476,24356
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,50,500000,108.199,4622,20.18,24778
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,1,10000,5.39,1856,1.276,7837
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,5,50000,1.622,30827,1.199,41702
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,10,100000,2.442,40951,1.922,52030
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,15,150000,3.33,45046,2.662,56349
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,20,200000,4.506,44386,3.495,57225
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,25,250000,5.539,45135,3.93,63614
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,30,300000,6.708,44723,4.749,63172
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,35,350000,7.917,44209,5.384,65008
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,40,400000,8.784,45538,6.302,63472
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,45,450000,10.09,44599,7.024,64067
ZK Performance Test-Write,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,50,500000,11.595,43123,8.369,59745
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,1,10000,0.985,10153,0.894,11186
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,5,50000,1.204,41529,1.264,39557
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,10,100000,2.28,43860,1.816,55067
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,15,150000,3.54,42373,2.935,51108
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,20,200000,4.713,42436,4.29,46621
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,25,250000,5.777,43276,5.357,46668
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,30,300000,7.154,41935,5.644,53154
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,35,350000,8.252,42414,6.907,50674
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,40,400000,9.568,41807,5.863,69225
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,45,450000,10.547,42667,6.938,64852
ZK Performance Test-Write,None,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10000,50,500000,11.286,44303,7.678,65122
