Test Name,Transaction Log Location,SnapCount,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,1,10000,67.292,149,1.033,9681
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,5,50000,130.463,384,4.161,12017
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,10,100000,179.124,559,7.916,12633
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,15,150000,223.456,672,11.759,12757
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,20,200000,256.83,779,16.065,12450
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,25,250000,284.997,878,20.591,12142
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,30,300000,293.895,1021,24.901,12048
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,35,350000,296.908,1179,29.347,11927
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,40,400000,302.715,1322,34.577,11569
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,45,450000,314.479,1431,40.165,11204
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,3,10000,50,500000,317.376,1576,52.581,9510
