NumberOfPackets,PacketSize(bytes),Time(s),Throughput (Packets/s),Throughput(MB/s)
1,280,0.001,1000,0.28
3,280,0.001,3000,0.84
10,280,0.01,10000,0.28
31,280,0.003,10333.3333333333,2.8933333333
100,280,0.008,12500,3.5
316,280,0.019,16631.5789473684,4.6568421053
1000,280,0.055,18181.8181818182,5.0909090909
3162,280,0.121,26132.2314049587,7.3170247934
10000,280,0.143,69930.0699300699,19.5804195804
31622,280,0.282,112134.75177305,31.3977304965
100000,280,0.784,127551.020408163,35.7142857143
316227,280,2.467,128182.81313336,35.8911876773
1000000,280,7.989,125172.111653524,35.048191263
