Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s),Async Execution Time(s),Async Rate(Znodes/s)
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.029,35,0.006,167
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.072,42,0.017,177
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.164,61,0.023,435
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,0.513,61,0.034,912
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,1.308,77,0.048,2084
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,3.533,90,0.091,3473
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,9.949,101,0.151,6623
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,28.653,111,0.283,11174
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,87.724,114,0.505,19802
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,31622,1,31622,251.622,126,1.217,25984
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,100000,1,100000,709.21,141,3.673,27220
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.029,35,0.004,250
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.032,94,0.004,750
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.065,154,0.009,1112
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,0.13,239,0.018,1723
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,0.267,375,0.018,5556
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,0.506,625,0.047,6724
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,1.022,979,0.095,10527
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,3162,1,3162,1.734,1824,0.153,20667
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,10000,1,10000,5.188,1928,0.258,38760
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,31622,1,31622,16.45,1922,1.157,27332
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,100000,1,100000,51.831,1930,3.658,27332
ZK Performance Test-Producer/Consumer,None,0,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.018,56,0.004,250
ZK Performance Test-Producer/Consumer,None,0,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.003,1000,0.003,1000
ZK Performance Test-Producer/Consumer,None,0,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.007,1429,0.007,1429
