Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,1,1,1,0.017,59
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,3,1,3,0.005,600
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,10,1,10,0.01,1000
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,31,1,31,0.034,912
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,100,1,100,0.085,1177
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,316,1,316,0.251,1259
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,1000,1,1000,0.505,1981
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,3162,1,3162,2.003,1579
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,10000,1,10000,5.684,1760
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,31622,1,31622,16.974,1863
ZK Performance Test-Producer/Consumer,Ram Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,100000,1,100000,52.614,1901
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,1,1,1,0.012,84
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,3,1,3,0.019,158
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,10,1,10,0.082,122
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,31,1,31,0.272,114
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,100,1,100,0.859,117
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,316,1,316,2.47,128
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,1000,1,1000,7.608,132
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,3162,1,3162,24.093,132
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,10000,1,10000,76.372,131
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,31622,1,31622,220.486,144
ZK Performance Test-Producer/Consumer,Disk,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,100000,1,100000,675.2,149
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,1,1,1,0.011,91
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,3,1,3,0.005,600
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,10,1,10,0.02,500
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,31,1,31,0.029,1069
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,100,1,100,0.086,1163
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,316,1,316,0.217,1457
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,1000,1,1000,0.536,1866
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,3162,1,3162,2.023,1564
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,10000,1,10000,3.824,2616
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,31622,1,31622,13.937,2269
ZK Performance Test-Producer/Consumer,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,100000,1,100000,37.978,2634
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,1,1,1,0.011,91
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,3,1,3,0.021,143
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,10,1,10,0.051,197
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,31,1,31,0.271,115
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,100,1,100,1.015,99
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,316,1,316,2.64,120
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,1000,1,1000,7.847,128
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,3162,1,3162,24.238,131
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,10000,1,10000,75.444,133
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,31622,1,31622,237.245,134
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create+Get+Delete,1,100000,1,100000,750.769,134
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.013,77
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.02,150
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.073,137
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,0.405,77
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,1.102,91
ZK Performance Test-Producer/Consumer,AWS-Non-optimal-EBS,10000,AWS,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,3.77,84
