Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Execution Time(s),Number of Successful Requests,Sync Rate(Znodes/s),Async Rate(Znodes/s
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,0.0,0,NaN,NaN
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,1.0,31407,31407.0,31407.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,2.0,82315,41158.0,41158.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,3.0,125215,41739.0,41739.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,4.0,166002,41501.0,41501.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,5.0,207805,41561.0,41561.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,6.0,240440,40074.0,40074.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,7.0,292505,41787.0,41787.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,8.0,338720,42340.0,42340.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,9.0,394880,43876.0,43876.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,10.0,422960,42296.0,42296.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,11.0,455135,41376.0,41376.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,12.0,503690,41975.0,41975.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,13.0,535280,41176.0,41176.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,14.0,600800,42915.0,42915.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,15.0,617765,41185.0,41185.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,16.0,671256,41954.0,41954.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,17.0,687041,40415.0,40415.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,18.0,750058,41670.0,41670.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,19.0,795020,41844.0,41844.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,20.0,817835,40892.0,40892.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,21.0,876920,41759.0,41759.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,22.0,918455,41748.0,41748.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,23.0,955310,41536.0,41536.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,24.0,1014646,42277.0,42277.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,25.0,1049974,41999.0,41999.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,26.0,1108854,42649.0,42649.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,27.0,1133942,41998.0,41998.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,28.0,1159030,41394.0,41394.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,29.0,1211188,41766.0,41766.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,30.0,1226167,40873.0,40873.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,31.0,1283641,41408.0,41408.0
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,32.0,1325746,41430.0,41430.0
