Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Execution Time(s),Number of Successful Requests,Sync Rate(Znodes/s)
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,1,97,97
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,2,183,92
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,3,304,102
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,4,424,106
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,5,587,118
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,6,747,125
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,7,889,127
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,8,1118,140
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,9,1387,155
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,10,1391,140
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,11,1583,144
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,12,1792,150
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,13,1972,152
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,14,2189,157
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,15,2299,154
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,16,2535,159
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,17,2570,152
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,18,2793,156
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,19,2941,155
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,20,3203,161
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,21,3244,155
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,22,3449,157
ZK Performance Test-Write,Disk,10000,Local Machine,zookeeper-3.4.5,Create,3,23,3520,154
