Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Execution Time(s),Number of Successful Requests,Sync Rate(Znodes/s),Async Rate(Znodes/s
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,0.0,0,NaN,NaN
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,1.0,28509,28509.0,28509.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,2.0,56399,28200.0,28200.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,3.0,112911,37637.0,37637.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,4.0,170254,42564.0,42564.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,5.0,213516,42704.0,42704.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,6.0,253310,42219.0,42219.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,7.0,289580,41369.0,41369.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,8.0,322925,40366.0,40366.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,9.0,367970,40886.0,40886.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,10.0,418280,41828.0,41828.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,11.0,439340,39940.0,39940.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,12.0,497255,41438.0,41438.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,13.0,521240,40096.0,40096.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,14.0,568040,40575.0,40575.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,15.0,637655,42511.0,42511.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,16.0,641750,40110.0,40110.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,17.0,679190,39953.0,39953.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,18.0,717215,39846.0,39846.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,19.0,768742,40461.0,40461.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,20.0,816033,40802.0,40802.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,21.0,845175,40247.0,40247.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,22.0,892870,40585.0,40585.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,23.0,952970,41434.0,41434.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,24.0,1003382,41808.0,41808.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,25.0,1004918,40197.0,40197.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,26.0,1051510,40443.0,40443.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,27.0,1103222,40861.0,40861.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,28.0,1143670,40846.0,40846.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,29.0,1181046,40726.0,40726.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,30.0,1225590,40853.0,40853.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,31.0,1244534,40147.0,40147.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,32.0,1260406,39388.0,39388.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,33.0,1339766,40599.0,40599.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,34.0,1391478,40926.0,40926.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,35.0,1364342,38982.0,38982.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,36.0,1441654,40046.0,40046.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,37.0,1467766,39670.0,39670.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,38.0,1471350,38720.0,38720.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,39.0,1551734,39789.0,39789.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,40.0,1606518,40163.0,40163.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,41.0,1624438,39621.0,39621.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,42.0,1639286,39031.0,39031.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,43.0,1762117,40980.0,40980.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,44.0,1917350,43577.0,43577.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,45.0,1834358,40764.0,40764.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,46.0,1443702,31385.0,31385.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,47.0,8388,179.0,179.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,48.0,8390,175.0,175.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,49.0,15479,316.0,316.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,50.0,22299,446.0,446.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,51.0,22299,438.0,438.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,52.0,23663,456.0,456.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,53.0,25027,473.0,473.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,54.0,26391,489.0,489.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,55.0,31847,580.0,580.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,56.0,31847,569.0,569.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,57.0,31847,559.0,559.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,58.0,34575,597.0,597.0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,59.0,33211,563.0,563.0
