Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Execution Time(s),Number of Successful Requests,Sync Rate(Znodes/s)
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,1,4339,4339
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,2,18300,9150
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,3,129728,43243
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,4,58370,14593
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,5,207575,41515
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,6,64078,10680
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,7,87580,12512
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,8,293064,36633
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,9,107631,11959
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,10,124990,12499
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,11,392123,35648
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,12,107781,8982
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,13,105043,8081
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,14,119629,8545
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,15,56896,3794
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,16,34297,2144
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,17,11942,703
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,18,4473,249
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,19,2221,117
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,20,238,12
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,21,37,2
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,22,24,2
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,23,8,1
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Get,3,24,0,0
