Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Execution Time(s),Number of Successful Requests,Sync Rate(Znodes/s),Async Rate(Znodes/s
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,0,0,0,0
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,1,369,369,369
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,2,2000,1000,1000
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,3,7936,2646,2646
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,4,14089,3523,3523
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,5,17045,3409,3409
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,6,19900,3317,3317
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,7,26987,3856,3856
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,8,33863,4233,4233
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,9,35492,3944,3944
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,10,34850,3485,3485
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,11,42806,3892,3892
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,12,48150,4013,4013
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,13,49244,3788,3788
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,14,53500,3822,3822
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,15,54292,3620,3620
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,16,59798,3738,3738
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,17,58663,3451,3451
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,18,63557,3531,3531
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,19,70241,3697,3697
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,20,77117,3856,3856
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,21,81970,3904,3904
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,22,78976,3590,3590
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,23,83890,3648,3648
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,24,91262,3803,3803
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,25,92138,3686,3686
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,26,96327,3705,3705
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,27,97239,3602,3602
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,28,101534,3627,3627
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,29,111319,3839,3839
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,30,115142,3839,3839
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,31,111989,3613,3613
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,32,130522,4079,4079
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,33,135577,4109,4109
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,34,137674,4050,4050
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,35,142513,4072,4072
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,36,131285,3647,3647
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,37,146576,3962,3962
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,38,152391,4011,4011
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,39,159313,4085,4085
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,40,143887,3598,3598
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,41,164225,4006,4006
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,42,156034,3716,3716
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,43,172169,4004,4004
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,44,149498,3398,3398
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,45,172792,3840,3840
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,46,182542,3969,3969
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,47,178028,3788,3788
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,48,179335,3737,3737
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,49,196385,4008,4008
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,50,181532,3631,3631
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,51,189155,3709,3709
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,52,206647,3974,3974
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,53,187710,3542,3542
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,54,210630,3901,3901
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,55,214954,3909,3909
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,56,205988,3679,3679
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,57,216773,3804,3804
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,58,204153,3520,3520
ZK Performance Test-Write,None,10000,Local Machine,zookeeper-3.4.5,Create,3,59,221143,3749,3749
