Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Execution Time(s),TotalNumber of Nodes Request,Sync Rate(Znodes/s)
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,1,1,2443,2443
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,2,2,11529,5765
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,3,3,21788,7263
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,4,4,30061,7516
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,5,5,37467,7494
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,6,6,46505,7751
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,7,7,54392,7771
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,8,8,61264,7658
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,9,9,67979,7554
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,10,10,80688,8069
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,11,11,84129,7649
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,12,12,94801,7901
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,13,13,109870,8452
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,14,14,111412,7958
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,15,15,121199,8080
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,16,16,123793,7738
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,17,17,132832,7814
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,18,18,144143,8008
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,19,19,145318,7649
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,20,20,153005,7651
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,21,21,163268,7775
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,22,22,169937,7725
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,23,23,179203,7792
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,24,24,197689,8238
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,25,25,193024,7721
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,26,26,204572,7869
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,27,27,212191,7859
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,28,28,214936,7677
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,29,29,225830,7788
ZK Performance Test-Read,None,10000,Local Machine,zookeeper-3.4.5,Create,3,30,30,235895,7864
