Test Name,Transaction Log Location,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Execution Time(s),Number of Successful Requests,Sync Rate(Znodes/s)
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,1,605,605
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,2,2119,1060
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,3,5085,1695
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,4,12771,3193
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,5,19168,3834
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,6,23095,3850
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,7,25686,3670
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,8,35268,4409
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,9,39072,4342
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,10,42593,4260
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,11,42416,3856
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,12,27785,2316
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,13,50899,3916
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,14,59721,4266
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,15,60881,4059
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,16,73684,4606
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,17,85494,5030
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,18,83661,4648
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,19,94550,4977
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,20,95657,4783
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,21,81194,3867
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,22,82376,3745
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,23,92933,4041
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,24,99061,4128
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,25,4759,191
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,26,95385,3669
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,27,115696,4286
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,28,119378,4264
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,29,118701,4094
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,30,124245,4142
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,31,122898,3965
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,32,101289,3166
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,33,16,1
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,34,13,1
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,35,7,1
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,36,131285,3647
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,37,146576,3962
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,38,152391,4011
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,39,159313,4085
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,40,143887,3598
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,41,164225,4006
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,42,156034,3716
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,43,172169,4004
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,44,149498,3398
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,45,172792,3840
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,46,182542,3969
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,47,178028,3788
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,48,179335,3737
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,49,196385,4008
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,50,181532,3631
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,51,189155,3709
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,52,206647,3974
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,53,187710,3542
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,54,210630,3901
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,55,214954,3909
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,56,205988,3679
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,57,216773,3804
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,58,204153,3520
ZK Performance Test-Write,None,Local Machine,zookeeper-3.4.5,Create,3,59,221143,3749
