Test Name,Transaction Log Location,Log Location Configuration ,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s),
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.03,34,0.02,50
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.056,54,0.024,125
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.171,59,0.093,108
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.443,70,0.271,115
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,1.682,60,0.84,120
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,4.827,66,2.614,121
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,11.834,85,7.165,140
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,32.205,99,21.101,150
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,95.203,106,64.433,155
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,31622,1,31622,302.511,105,201.433,157
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,100000,1,100000,917.43,109,646.851,155
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.019,53,0.019,53
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.037,82,0.013,231
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.071,141,0.048,209
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.216,144,0.074,419
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,0.628,160,0.35,286
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,1.372,231,0.789,401
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,1.503,666,1.1,910
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,3.669,862,1.611,1963
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,9.308,1075,5.777,1732
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,31622,1,31622,21.797,1451,16.569,1909
ZK Performance Test-move,Ram Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,100000,1,100000,66.623,1501,49.146,2035
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.004,250,0.018,56
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.01,300,0.019,158
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.015,667,0.059,170
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.041,757,0.122,255
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,0.078,1283,0.465,216
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,0.159,1988,0.998,317
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,0.336,2977,1.072,933
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,1.092,2896,1.241,2548
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,3.169,3156,2.869,3486
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,31622,1,31622,9.933,3184,8.125,3892
ZK Performance Test-move,None,0,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,100000,1,100000,31.843,3141,25.625,3903
