Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Sync Execution Time(s),Sync Rate(Znodes/s)
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,1,1,1,0.01,100.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,3,1,3,0.044,69.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,10,1,10,0.121,83.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,31,1,31,0.375,83.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,100,1,100,1.147,88.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,316,1,316,3.163,100.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,1000,1,1000,9.928,101.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,3162,1,3162,26.742,119.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,10000,1,10000,102.638,98.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,31622,1,31622,290.02,110.0
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,100000,1,100000,611.155,164.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,1,1,1,0.023,44.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,3,1,3,0.014,215.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,10,1,10,0.047,213.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,31,1,31,0.121,257.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,100,1,100,0.285,351.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,316,1,316,0.673,470.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,1000,1,1000,0.753,1329.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,3162,1,3162,1.921,1647.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,10000,1,10000,5.177,1932.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,31622,1,31622,14.413,2194.0
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,100000,1,100000,43.826,2282.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,1,1,1,0.019,53.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,3,1,3,0.004,750.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,10,1,10,0.016,625.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,31,1,31,0.139,224.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,100,1,100,0.307,326.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,316,1,316,0.432,732.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,1000,1,1000,0.474,2110.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,3162,1,3162,0.868,3643.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,10000,1,10000,2.396,4174.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,31622,1,31622,6.871,4603.0
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,100000,1,100000,21.452,4662.0

