Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,1,1,1,0.013,77
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,3,1,3,0.021,143
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,10,1,10,0.085,118
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,31,1,31,0.302,103
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,100,1,100,0.865,116
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,316,1,316,2.472,128
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,1000,1,1000,6.656,151
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,3162,1,3162,19.064,166
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,10000,1,10000,65.467,153
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,31622,1,31622,196.488,161
ZK Performance Test-ZKmove,Disk,10000,Local Machine,zookeeper-3.4.5,move,1,100000,1,100000,606.274,165
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,1,1,1,0.006,167
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,3,1,3,0.007,429
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,10,1,10,0.021,477
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,31,1,31,0.035,886
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,100,1,100,0.126,794
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,316,1,316,0.292,1083
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,1000,1,1000,0.646,1548
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,3162,1,3162,1.752,1805
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,10000,1,10000,4.257,2350
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,31622,1,31622,13.73,2304
ZK Performance Test-ZKmove,RamDisk,10000,Local Machine,zookeeper-3.4.5,move,1,100000,1,100000,40.144,2492
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,1,1,1,0.005,200
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,3,1,3,0.002,1500
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,10,1,10,0.007,1429
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,31,1,31,0.022,1410
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,100,1,100,0.068,1471
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,316,1,316,0.174,1817
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,1000,1,1000,0.312,3206
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,3162,1,3162,0.815,3880
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,10000,1,10000,2.333,4287
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,31622,1,31622,6.7,4720
ZK Performance Test-ZKmove,None,10000,Local Machine,zookeeper-3.4.5,move,1,100000,1,100000,21.596,4631
