Test Name,Transaction Log Location,Log Location Configuration ,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,1,1,1,0.074,14
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,3,1,3,0.034,89
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10,1,10,0.056,179
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,31,1,31,0.156,199
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,100,1,100,0.478,210
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,316,1,316,1.505,210
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,1000,1,1000,4.436,226
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,3162,1,3162,11.923,266
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,1,10000,32.87,305
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,31622,1,31622,98.45,322
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,100000,1,100000,312.465,321
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,1,1,1,0.026,39
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,3,1,3,0.028,108
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10,1,10,0.086,117
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,31,1,31,0.223,140
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,100,1,100,0.72,139
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,316,1,316,2.284,139
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,1000,1,1000,6.329,159
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,3162,1,3162,18.357,173
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,1,10000,54.804,183
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,31622,1,31622,172.637,184
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,100000,1,100000,608.295,165
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,1,1,1,0.036,28
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,3,1,3,0.021,143
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,10,1,10,0.063,159
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,31,1,31,0.16,194
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,100,1,100,0.462,217
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,316,1,316,1.606,197
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,1000,1,1000,4.745,211
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,3162,1,3162,14.554,218
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,10000,1,10000,46.842,214
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,31622,1,31622,148.517,213
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,1,100000,1,100000,477.993,210
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,1,1,1,0.144,7
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,3,1,3,0.022,137
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,10,1,10,0.067,150
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,31,1,31,0.167,186
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,100,1,100,0.52,193
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,316,1,316,1.586,200
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,1000,1,1000,4.742,211
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,3162,1,3162,12.964,244
ZK Performance Test-Write,Disk,8 GiO HDD,10000,AWS,Zookeeper-3.4.5,Create,3,10000,1,10000,152.717,66
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,1,1,1,0.017,59
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,3,1,3,0.008,375
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10,1,10,0.007,1429
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,31,1,31,0.02,1550
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,100,1,100,0.045,2223
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,316,1,316,0.199,1588
