Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,1,1,1,0.043,24
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,3,1,3,0.017,177
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,10,1,10,0.067,150
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,31,1,31,0.144,216
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,100,1,100,0.508,197
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,316,1,316,1.458,217
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,1000,1,1000,4.034,248
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,3162,1,3162,11.584,273
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,10000,1,10000,32.224,311
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,31622,1,31622,93.906,337
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,100000,1,100000,307.264,326
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,1,1,1,0.009,112
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,3,1,3,0.005,600
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,10,1,10,0.004,2500
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,31,1,31,0.011,2819
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,100,1,100,0.069,1450
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,316,1,316,0.195,1621
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,1000,1,1000,0.584,1713
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,3162,1,3162,1.333,2373
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,10000,1,10000,2.599,3848
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,31622,1,31622,6.531,4842
ZK Performance Test-Write,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Create,1,100000,1,100000,19.274,5189
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,1,1,1,0.002,500
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,3,1,3,0.002,1500
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,10,1,10,0.007,1429
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,31,1,31,0.021,1477
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,100,1,100,0.067,1493
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,316,1,316,0.121,2612
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,1000,1,1000,0.36,2778
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,3162,1,3162,0.64,4941
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,10000,1,10000,1.52,6579
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,31622,1,31622,4.351,7268
ZK Performance Test-Read,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,100000,1,100000,12.954,7720
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,1,1,1,0.01,100
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,3,1,3,0.003,1000
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,10,1,10,0.01,1000
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,31,1,31,0.027,1149
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,100,1,100,0.073,1370
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,316,1,316,0.167,1893
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get,1,1000,1,1000,0.391,2558
