Test Name,Backend,Number of Nodes in cluster,Number of KV,HTTP Client Time(s),HTTP Client throughput(writes/s),PB Client Time(s),PB Client throughput(writes/s)
Riak Performance Test-Write,Bitcask,1,1,0.037,28,0.012,84
Riak Performance Test-Write,Bitcask,1,3,0.036,84,0.01,300
Riak Performance Test-Write,Bitcask,1,10,0.135,75,0.033,304
Riak Performance Test-Write,Bitcask,1,31,0.366,85,0.08,388
Riak Performance Test-Write,Bitcask,1,100,1.088,92,0.284,353
Riak Performance Test-Write,Bitcask,1,316,3.166,100,0.741,427
Riak Performance Test-Write,Bitcask,1,1000,9.035,111,2.012,498
Riak Performance Test-Write,Bitcask,1,3162,25.912,123,5.631,562
Riak Performance Test-Write,Bitcask,1,10000,48.074,209,7.031,1423
Riak Performance Test-Write,Bitcask,1,31622,226.579,140,25.321,1249
Riak Performance Test-Write,Bitcask,1,100000,717.542,140,84.614,1182
Riak Performance Test-Write,Bitcask,3,1,0.128,8,0.072,14
Riak Performance Test-Write,Bitcask,3,3,0.083,37,0.06,50
Riak Performance Test-Write,Bitcask,3,10,0.169,60,0.085,118
Riak Performance Test-Write,Bitcask,3,31,0.457,68,0.172,181
Riak Performance Test-Write,Bitcask,3,100,1.21,83,0.358,280
Riak Performance Test-Write,Bitcask,3,316,3.86,82,0.768,412
Riak Performance Test-Write,Bitcask,3,1000,10.94,92,3.044,329
Riak Performance Test-Write,Bitcask,3,3162,32.067,99,10.617,298
Riak Performance Test-Write,Bitcask,3,10000,91.995,109,31.171,321
Riak Performance Test-Write,Bitcask,3,31622,288.648,110,106.136,298
Riak Performance Test-Write,Bitcask,3,100000,913.659,110,287.049,349
Riak Performance Test-Write,eleveldb,1,1,0.06,17,0.025,40
Riak Performance Test-Write,eleveldb,1,3,0.047,64,0.015,200
Riak Performance Test-Write,eleveldb,1,10,0.13,77,0.034,295
Riak Performance Test-Write,eleveldb,1,31,0.364,86,0.096,323
Riak Performance Test-Write,eleveldb,1,100,1.115,90,0.209,479
Riak Performance Test-Write,eleveldb,1,316,3.232,98,0.815,388
Riak Performance Test-Write,eleveldb,1,1000,9.277,108,2.288,438
Riak Performance Test-Write,eleveldb,1,3162,26.914,118,3.401,930
Riak Performance Test-Write,eleveldb,1,10000,76.477,131,10.835,923
Riak Performance Test-Write,eleveldb,1,31622,247.258,128,27.339,1157
Riak Performance Test-Write,eleveldb,1,100000,745.972,135,88.24,1134
Riak Performance Test-Write,eleveldb,3,1,0.063,16,0.025,40
Riak Performance Test-Write,eleveldb,3,3,0.06,50,0.018,167
Riak Performance Test-Write,eleveldb,3,10,0.145,69,0.036,278
Riak Performance Test-Write,eleveldb,3,31,0.386,81,0.113,275
Riak Performance Test-Write,eleveldb,3,100,1.158,87,0.361,278
Riak Performance Test-Write,eleveldb,3,316,3.776,84,1.054,300
Riak Performance Test-Write,eleveldb,3,1000,9.904,101,2.238,447
Riak Performance Test-Write,eleveldb,3,3162,31.691,100,8.93,355
Riak Performance Test-Write,eleveldb,3,10000,89.487,112,27.587,363
Riak Performance Test-Write,eleveldb,3,31622,275.527,115,104.371,303
Riak Performance Test-Write,eleveldb,3,100000,864.914,116,264.75,378
Riak Performance Test-Write,memory,1,1,0.053,19,0.023,44
Riak Performance Test-Write,memory,1,3,0.049,62,0.015,200
Riak Performance Test-Write,memory,1,10,0.124,81,0.03,334
Riak Performance Test-Write,memory,1,31,0.364,86,0.084,370
Riak Performance Test-Write,memory,1,100,1.074,94,0.283,354
Riak Performance Test-Write,memory,1,316,3.216,99,0.818,387
Riak Performance Test-Write,memory,1,1000,9.064,111,1.605,624
Riak Performance Test-Write,memory,1,3162,25.181,126,5.98,529
Riak Performance Test-Write,memory,1,10000,73.829,136,10.571,946
Riak Performance Test-Write,memory,1,31622,243.109,131,24.963,1267
Riak Performance Test-Write,memory,1,100000,748.256,134,90.228,1109
Riak Performance Test-Write,memory,3,1,0.031,33,0.018,56
Riak Performance Test-Write,memory,3,3,0.039,77,0.011,273
Riak Performance Test-Write,memory,3,10,0.137,73,0.038,264
Riak Performance Test-Write,memory,3,31,0.409,76,0.114,272
Riak Performance Test-Write,memory,3,100,1.168,86,0.318,315
Riak Performance Test-Write,memory,3,316,3.386,94,0.386,819
Riak Performance Test-Write,memory,3,1000,10.029,100,2.008,499
Riak Performance Test-Write,memory,3,3162,29.519,108,5.373,589
Riak Performance Test-Write,memory,3,10000,84.966,118,19.489,514
Riak Performance Test-Write,memory,3,31622,263.303,121,90.083,352
Riak Performance Test-Write,memory,3,100000,835.403,120,208.449,480
