Test Name,Mode,Request Mode,NumberOfMessages,sync Time(s),sync Throughput(messages/s),NoSync Time(s),NoSync Throughput(messages/s)
AccordTest-Write,InMemory,Asynchronous,1,0.002754,363.11,0.002554,391.54
AccordTest-Write,InMemory,Asynchronous,3,0.002393,1253.66,0.002242,1338.09
AccordTest-Write,InMemory,Asynchronous,10,0.003659,2732.99,0.002432,4111.84
AccordTest-Write,InMemory,Asynchronous,31,0.002611,11872.85,0.003874,8002.07
AccordTest-Write,InMemory,Asynchronous,100,0.003997,25018.76,0.005239,19087.61
AccordTest-Write,InMemory,Asynchronous,316,0.007053,44803.63,0.007737,40842.7
AccordTest-Write,InMemory,Asynchronous,1000,0.008313,120293.52,0.016423,60890.21
AccordTest-Write,InMemory,Asynchronous,3162,0.11078,285430.58,0.027303,115811.45
AccordTest-Write,InMemory,Asynchronous,10000,0.028021,356875.2,0.042001,238089.57
AccordTest-Write,InMemory,Asynchronous,31622,0.075125,420925.12,0.068668,460505.62
AccordTest-Write,InMemory,Asynchronous,100000,0.219323,455948.53,0.205643,486279.62
AccordTest-Write,Persistent,Asynchronous,1,0.005248,190.55,0.002476,403.88
AccordTest-Write,Persistent,Asynchronous,3,0.02114,141.91,0.002482,1208.7
AccordTest-Write,Persistent,Asynchronous,10,0.02066,484.03,0.002284,4378.28
AccordTest-Write,Persistent,Asynchronous,31,0.026603,1165.28,0.002612,11868.3
AccordTest-Write,Persistent,Asynchronous,100,0.026885,3719.55,0.004927,20296.33
AccordTest-Write,Persistent,Asynchronous,316,0.032951,9590,0.007569,41749.24
AccordTest-Write,Persistent,Asynchronous,1000,0.032835,30455.3,0.013466,74261.1
AccordTest-Write,Persistent,Asynchronous,3162,0.041614,75984.04,0.030296,104370.21
AccordTest-Write,Persistent,Asynchronous,10000,1.102511,9090.2,0.038627,258886.27
AccordTest-Write,Persistent,Asynchronous,31622,7.281507,4342.78,0.11786,282879.79
AccordTest-Write,Persistent,Asynchronous,100000,9.02582,11079.99,0.30416,328774.33
AccordTest-Write,InMemory,Synchronous,1,0.002472,404.53,0.00252,396.83
AccordTest-Write,InMemory,Synchronous,3,0.004939,607.41,0.004749,631.71
AccordTest-Write,InMemory,Synchronous,10,0.012765,783.39,0.012841,778.76
AccordTest-Write,InMemory,Synchronous,31,0.036579,847.48,0.036521,848.83
AccordTest-Write,InMemory,Synchronous,100,0.117186,853.34,0.114368,874.37
AccordTest-Write,InMemory,Synchronous,316,0.35658,886.2,0.357303,884.4
AccordTest-Write,InMemory,Synchronous,1000,1.131181,884.03,1.12835,886.25
AccordTest-Write,InMemory,Synchronous,3162,3.573776,884.78,3.625738,872.1
AccordTest-Write,InMemory,Synchronous,10000,11.280502,886.49,11.260367,888.07
AccordTest-Write,InMemory,Synchronous,31622,35.80178,883.25,35.684028,886.17
AccordTest-Write,InMemory,Synchronous,100000,113.071881,884.39,112.969265,885.2
AccordTest-Write,Persistent,Synchronous,1,0.016579,60.32,0.003152,317.26
AccordTest-Write,Persistent,Synchronous,3,0.052104,57.58,0.005392,556.38
AccordTest-Write,Persistent,Synchronous,10,0.261545,38.23,0.012949,772.26
AccordTest-Write,Persistent,Synchronous,31,0.717385,43.21,0.041839,740.94
AccordTest-Write,Persistent,Synchronous,100,2.388912,41.86,0.0117668,849.85
AccordTest-Write,Persistent,Synchronous,316,7.635097,41.39,0.360364,876.89
AccordTest-Write,Persistent,Synchronous,1000,24.19785,41.33,1.113119,882.52
AccordTest-Write,Persistent,Synchronous,3162,76.2493,41.47,3.594656,879.64
AccordTest-Write,Persistent,Synchronous,10000,239.388803,41.77,11.302182,884.78
AccordTest-Write,Persistent,Synchronous,31622,757.459558,41.75,35.884911,881.21
AccordTest-Write,Persistent,Synchronous,100000,2360.717658,42.36,113.462008,881.35
