Test Name,Mode,Request Mode,NumberOfMessages,sync Time(s),sync Throughput(messages/s),NoSync Time(s),NoSync Throughput(messages/s)
AccordTest-MQ,InMemory,Asynchronous,1,0.00663,150.83,0.02021,49.48
AccordTest-MQ,InMemory,Asynchronous,3,0.005287,567.43,0.018972,158.13
AccordTest-MQ,InMemory,Asynchronous,10,0.005493,1820.5,0.007579,1319.44
AccordTest-MQ,InMemory,Asynchronous,31,0.008617,3597.54,0.006884,4503.2
AccordTest-MQ,InMemory,Asynchronous,100,0.009607,10409.08,0.00959,10427.53
AccordTest-MQ,InMemory,Asynchronous,316,0.013078,24162.72,0.014552,21715.23
AccordTest-MQ,InMemory,Asynchronous,1000,0.023015,43449.92,0.022834,43794.34
AccordTest-MQ,InMemory,Asynchronous,3162,0.046105,68582.58,0.03721,84977.16
AccordTest-MQ,InMemory,Asynchronous,10000,0.08543,117054.9,0.100711,99294.02
AccordTest-MQ,InMemory,Asynchronous,31622,0.247007,128020.66,0.26053,121375.66
AccordTest-MQ,InMemory,Asynchronous,100000,0.950061,105256.4,0.939344,106457.27
AccordTest-MQ,Persistent,Asynchronous,1,0.007743,129.15,0.031636,31.61
AccordTest-MQ,Persistent,Asynchronous,3,0.005326,563.27,0.006812,440.4
AccordTest-MQ,Persistent,Asynchronous,10,0.007359,1358.88,0.007273,1374.95
AccordTest-MQ,Persistent,Asynchronous,31,0.007062,4389.69,0.008279,3744.41
AccordTest-MQ,Persistent,Asynchronous,100,0.009659,10353.04,0.012727,7857.31
AccordTest-MQ,Persistent,Asynchronous,316,0.010792,29280.95,0.023854,13247.25
AccordTest-MQ,Persistent,Asynchronous,1000,0.031708,31537.78,0.039402,25379.42
AccordTest-MQ,Persistent,Asynchronous,3162,0.038101,82989.95,0.045825,69001.64
AccordTest-MQ,Persistent,Asynchronous,10000,0.063377,157785.95,0.087667,114068.01
AccordTest-MQ,Persistent,Asynchronous,31622,3.249703,9730.74,0.194094,162921.06
AccordTest-MQ,Persistent,Asynchronous,100000,16.191002,6176.27,0.683238,146361.88
AccordTest-MQ,InMemory,Synchronous,1,0.006336,157.83,0.005172,193.35
AccordTest-MQ,InMemory,Synchronous,3,0.01409,212.92,0.011668,257.11
AccordTest-MQ,InMemory,Synchronous,10,0.031683,315.63,0.031599,316.47
AccordTest-MQ,InMemory,Synchronous,31,0.101985,303.97,0.115853,267.58
AccordTest-MQ,InMemory,Synchronous,100,0.329148,303.81,0.306131,326.66
AccordTest-MQ,InMemory,Synchronous,316,1.136141,278.13,1.164839,271.28
AccordTest-MQ,InMemory,Synchronous,1000,3.687951,271.15,3.482359,287.16
AccordTest-MQ,InMemory,Synchronous,3162,10.852817,291.35,10.796526,292.87
AccordTest-MQ,InMemory,Synchronous,10000,34.263796,291.85,35.274017,283.49
AccordTest-MQ,InMemory,Synchronous,31622,108.472014,291.52,111.220132,284.32
AccordTest-MQ,InMemory,Synchronous,100000,165.381199,604.66,346.307277,288.76
AccordTest-MQ,Persistent,Synchronous,1,0.008497,117.69,0.006082,164.42
AccordTest-MQ,Persistent,Synchronous,3,0.071521,41.95,0.010164,295.16
AccordTest-MQ,Persistent,Synchronous,10,0.249336,40.11,0.031575,316.71
AccordTest-MQ,Persistent,Synchronous,31,0.81442,38.06,0.09705,319.42
AccordTest-MQ,Persistent,Synchronous,100,2.499743,40,0.339628,294.44
AccordTest-MQ,Persistent,Synchronous,316,8.084824,39.09,1.076661,293.5
AccordTest-MQ,Persistent,Synchronous,1000,26.007934,38.45,3.316726,301.5
AccordTest-MQ,Persistent,Synchronous,3162,81.182946,38.95,10.800645,292.76
AccordTest-MQ,Persistent,Synchronous,10000,251.433106,39.77,35.298438,283.3
AccordTest-MQ,Persistent,Synchronous,31622,786.467372,40.21,109.488995,288.81
AccordTest-MQ,Persistent,Synchronous,100000,2450.717797,40.8,349.726578,285.94
