Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,1,1,1,0.013,77.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,3,1,3,0.012,250.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,10,1,10,0.044,228.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,31,1,31,0.101,307.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,100,1,100,0.357,281.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,316,1,316,1.12,283.0
ZK Performance Test-Write,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create,1,1000,1,1000,3.523,284.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get,1,1,1,1,0.005,200.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get,1,3,1,3,0.003,1000.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get,1,10,1,10,0.009,1112.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get,1,31,1,31,0.025,1240.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get,1,100,1,100,0.042,2381.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get,1,316,1,316,0.162,1951.0
ZK Performance Test-Read,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get,1,1000,1,1000,0.31,3226.0
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,1,1,1,0.014,72.0
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,3,1,3,0.022,137.0
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,10,1,10,0.09,112.0
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,31,1,31,0.287,109.0
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,100,1,100,0.895,112.0
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,316,1,316,2.761,115.0
ZK Performance Test-Producer/Consumer,Disk,10000,LocalMachine,Zookeeper-3.4.5,Create+Get+Delete,1,1000,1,1000,8.944,112.0
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.014,72.0
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.029,104.0
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.107,94.0
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.323,96.0
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,1.012,99.0
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,3.345,95.0
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,9.27,108.0
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.4.5,move,1,1,1,1,0.018,56.0
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.4.5,move,1,3,1,3,0.048,63.0
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.4.5,move,1,10,1,10,0.132,76.0
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.4.5,move,1,31,1,31,0.393,79.0
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.4.5,move,1,100,1,100,1.218,83.0
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.4.5,move,1,316,1,316,3.829,83.0
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.4.5,move,1,1000,1,1000,10.906,92.0
